Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
222 N Columbus Dr APT 1901,60601,279000,835,334,2,1,1,2002,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,630
4134 W Roscoe St,60641,260000,1700,153,3,3,3,1907,Forced air: Gas,Central,Garage - Detached: None: Covered,Single Family,No,1,null
1542 N Rockwell St #G,60622,199900,900,222,2,1,1,1905,Forced air: Gas,Central,None: Covered,Condo,null,3,200
2228 N Hamilton Ave APT 1R,60647,325000,1300,250,2,3,2,2004,Forced air: Gas,Central,Off-street: Covered,Condo,null,3,250
175 E Delaware Pl #8301-2,60611,899000,2900,310,3,3,2,1969,Electric,null,Garage - Attached: Covered,Condo,null,9,2581
3149 W Lexington St UNIT 3,60612,169000,1800,94,3,2,2,2008,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,2,null
811 W Eastwood Ave APT 206,60640,169000,750,225,1,1,1,1917,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,6,313
4600 S Indiana Ave APT 1E,60653,166900,1250,134,3,2,2,1899,Gas,Central,None,Condo,No,3,242
426 E 90th St,60619,230000,1900,121,4,2,2,1921,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2033 N Newcastle Ave,60707,179900,856,210,2,2,1,1922,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
1212 N Lake Shore Dr #25B-N,60610,675000,1700,397,2,2,2,1970,Forced air: Electric,Central,Garage - Attached: Covered,Condo,null,9,1297
2549 W Pershing Rd,60632,249900,1376,182,3,2,1,1900,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2521 W 109th St,60655,215000,1188,181,2,2,1,1943,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1056 W Lawrence Ave APT 4B,60640,349900,null,NaN,2,2,2,2004,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,4,347
2949 N Luna Ave,60641,559900,3252,172,4,4,3,1924,Electric: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2465 W Balmoral Ave #1N,60625,197000,1100,179,2,1,1,1952,Forced air,Central,Covered,Condo,null,2,120
4742 S Kilpatrick Ave,60632,258901,1000,259,3,2,2,1958,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
3419 N Kedzie Ave,60618,927355,3092,300,6,4,null,2008,Stove: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3621 N Wilton Ave #2,60613,450000,1400,321,3,2,2,1894,Forced air: Gas,Central,None: Covered,Condo,null,3,244
4918 N Spaulding Ave,60625,375000,null,NaN,5,2,2,1909,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
4815 N Lowell Ave,60630,500000,2193,228,5,4,3,1923,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
6300 N Sheridan Rd APT 307,60660,75000,750,100,1,1,1,1962,Forced air: Gas,Refrigerator,Garage: None: Covered,Condo,null,8,393
9834 S Michigan Ave,60628,195000,2568,76,3,2,1,1963,Baseboard: Gas,null,Covered,Single Family,null,null,null
2018 W Homer St,60647,649000,null,NaN,4,3,3,null,Gas,Central,Garage - Detached: Covered,Multiple Occupancy,null,2,null
9401 S Hoyne Ave,60643,1085000,5300,205,4,5,4,1948,Forced air: Other: Gas,Refrigerator: Central,Garage - Attached: Covered,Single Family,null,3,null
5314 S Kimbark Ave APT 1,60615,229900,1150,200,2,1,1,1920,null,Wall,None,Condo,No,3,435
6628 N Onarga Ave,60631,550000,2832,194,4,3,2,1938,Baseboard,Central,Garage - Detached: Covered,Single Family,null,null,410
281 Mahogany Ln,43116,427732,2858,150,4,3,2,2020,null,null,Covered,Single Family,null,2,null
400 W Ontario St APT 603,60654,360000,1310,275,2,2,2,1999,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,607
4856 N Kenneth Ave APT 2,60630,186000,1100,169,2,2,2,1919,Forced air: Gas,Central,None: Garage,Condo,No,2,190
653 N Kingsbury St APT 1001,60654,700000,2000,350,3,3,3,2002,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,1243
340 W Superior St APT 906,60654,224900,760,296,1,1,1,2001,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,615
5958 S Carpenter St,60621,,null,NaN,null,null,null,null,null,null,null,null,null,null,null
4825 S Champlain Ave,60615,719000,null,NaN,4,4,3,2020,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3926 W 104th St,60655,299900,1740,172,3,2,2,1950,Forced air,Central,Garage - Detached: Covered,Single Family,null,null,null
2729 N Racine Ave #S,60614,432000,null,NaN,2,3,2,null,Forced air: Gas,Central,Covered,Townhouse,null,2,165
1451 N Larrabee St #C,60610,385000,1200,321,2,2,1,1998,Gas,Central,Covered,Condo,null,3,294
4816 N Nordica Ave,60656,389000,1265,308,3,3,2,1958,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
919 W Wolfram St,60657,899000,3934,229,6,4,3,1891,Forced air: Gas,Central,Garage - Attached: Garage - Detached: Covered,Single Family,null,null,null
444 W Fullerton Pkwy APT 1503,60614,330000,1175,281,2,2,1,1972,Gas,Central,Garage - Attached: Covered,Condo,null,20,1050
10235 S Whipple St,60655,235000,1027,229,3,2,2,1957,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4442 N Damen Ave APT 2W,60625,290000,1000,290,2,2,2,2012,Forced air: Gas,Central,None,Condo,No,4,316
