Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
2050 W Le Moyne St #1,60622,850000,3000,283,3,3,2,1990,Gas,Central,Garage - Attached: Covered,Condo,null,3,null
953 W 37th Pl,60609,720000,3639,198,5,4,3,2015,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,50
417 S Jefferson St APT 409B,60607,374900,1200,312,2,2,2,1892,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,5,490
5028 W Eddy St,60641,434900,1714,254,4,3,3,1924,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
675 W Wrightwood Ave #2,60614,650000,null,NaN,3,2,2,1893,Forced air: Gas,Central,Covered,Condo,null,3,200
12837 S Escanaba Ave,60633,137500,1234,111,3,1,1,1960,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
930 W Roscoe St #REAR,60657,775000,2700,287,4,4,3,1894,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Single Family,null,null,null
2111 W Sunnyside Ave,60625,899000,1900,473,3,2,1,1911,Radiant: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5345 N Meade Ave,60630,385000,2240,172,4,3,2,1952,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
10115 S Morgan St,60643,239900,1200,200,4,2,2,1932,Forced air: Gas,Central,Garage - Detached: None: Covered,Single Family,null,null,null
2045 W Webster Ave,60647,550000,1700,324,3,3,2,1996,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,3,null
6157 S Talman Ave,60629,274900,1200,229,4,2,2,1918,Forced air: Gas,None,On-street: Covered,Multiple Occupancy,null,null,null
1736 W Catalpa Ave,60640,615000,null,NaN,5,2,null,1902,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
9350 S Normal Ave,60620,190000,1120,170,3,1,1,1963,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
2723 W Saint Georges Ct,60647,750000,2673,281,4,4,3,2015,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
200 N Dearborn St UNIT 1006,60601,307500,1200,256,2,2,2,1989,Forced air: Gas,Central,None,Condo,No,9,679
1320 N State Pkwy UNIT 3A,60610,475000,2200,216,3,3,2,1926,null,null,Covered,Condo,null,9,4351
3436 N Ridgeway Ave #G,60618,179900,1100,164,2,2,2,1919,Forced air: Gas,Central,Covered,Condo,null,1,150
3145 N Cambridge Ave APT 3,60657,375000,1400,268,2,2,2,1911,Other,Wall,None: Covered,Condo,null,3,531
1600 S Indiana Ave UNIT 1803,60616,349900,1206,290,2,2,2,2005,Forced air,Central,Garage - Attached: Covered,Condo,null,9,477
1238 W Ohio St #2,60642,399000,null,NaN,2,2,2,1997,Forced air: Gas,Central,Covered,Condo,null,3,117
70 W Burton Pl #2201,60610,190000,745,255,1,1,1,1966,null,null,Garage - Attached: Covered,Condo,null,9,725
1047 N Central Park Ave,60651,195000,1500,130,4,3,3,1908,Forced air: Gas,Central,Garage - Detached: None: Covered,Single Family,null,null,null
651 W Sheridan Rd APT 3A,60613,335000,1200,279,2,2,2,1974,Forced air: Electric,Central,Garage - Attached: Covered,Condo,null,7,361
7641 N Eastlake Ter APT 2D,60626,205000,null,NaN,2,1,1,1924,Other,Other,Garage: Garage - Detached: Covered,Condo,null,3,537
4841 N Oakley Ave,60625,1499000,4200,357,6,5,4,2020,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5811 W Higgins Ave,60630,494400,null,NaN,8,3,3,1968,Baseboard: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
11 N Green St UNIT 2D,60607,779999,2100,371,3,3,3,1915,Gas,Central,Garage - Attached: Covered,Condo,null,2,567
1521 N Lawndale Ave,60651,99000,900,110,2,1,1,1890,Gas,Central,Garage: None: Covered,Single Family,null,null,null
6122 S Normandy Ave,60638,199900,1108,180,3,2,2,1955,Forced air: Gas,Central,Garage: Covered,Single Family,null,null,null
1013 N Cleveland Ave UNIT 6,60610,849000,2134,398,3,3,2,2016,Gas,Central,Garage - Attached: Covered,Townhouse,null,2,233
3353 S Racine Ave,60608,709000,3600,197,4,4,3,2020,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,2,null
428 W Roslyn Pl,60614,1399500,4600,304,5,4,2,1895,Radiant: Gas,Central,Garage: Garage - Detached,Single Family,No,3,null
1512 W Cornelia Ave #G,60657,249900,1064,235,2,1,1,1920,Forced air: Gas,Central,Covered,Condo,null,4,229
3439 W Hirsch St,60651,325000,1735,187,5,2,2,1900,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
8600 S Kildare Ave,60652,324900,1803,180,4,4,2,1960,Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
4522 W 63rd St UNIT 1,60629,,null,NaN,null,null,null,null,null,null,null,null,null,null,null
2318 W 35th Pl,60609,219000,2700,81,4,2,2,1885,Radiant: Gas,Other,Carport: On-street: Covered: Garage,Multiple Occupancy,null,null,null
420 E North Water St,60611,1245900,3600,346,4,4,3,1997,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,538
777 N Michigan Ave APT 3702,60611,139900,600,233,0,1,1,1968,Forced air: Gas,Central,Garage - Attached,Condo,No,9,480
5938 S May St,60621,79900,1668,48,6,3,2,1892,Forced air: Gas,null,None,Multiple Occupancy,No,null,null
2858 E 96th St,60617,199000,1922,104,5,3,2,1925,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Single Family,null,null,null
1638 W Ohio St,60622,450000,null,NaN,4,2,2,1875,Forced air: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2541 W Monroe St #A,60612,235000,1100,214,3,1,1,2020,Forced air,Central,Covered,Townhouse,null,2,null
5440 N New England Ave,60656,550000,2250,244,4,3,2,1925,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
421 W Huron St APT 1107,60654,281000,844,333,1,1,1,2001,Other: Gas,Central,Garage - Attached: Covered,Condo,null,9,501
